,P1,P,P2,Q,R,S,T1,T,Cluster
781,-0.0009107468123864,0.1211293260473588,0.2404371584699448,0.3779599271402551,0.4289617486338791,0.4790528233151174,0.6338797814207656,0.816939890710382,1
782,-0.0009140767824492,0.1197440585009141,0.2394881170018283,0.3765996343692873,0.4277879341864711,0.4780621572212057,0.6343692870201098,0.818098720292505,1
783,-0.0009182736455458,0.1193755739210291,0.2396694214876041,0.3783287419651062,0.4297520661157022,0.4802571166207525,0.6382001836547291,0.8227731864095504,1
784,-0.0009208103130749,0.1178637200736649,0.2384898710865564,0.3775322283609577,0.4290976058931852,0.4797421731123378,0.6381215469613254,0.8232044198895027,1
785,-0.0009099181073698,0.1182893539581444,0.2374886260236571,0.3757961783439492,0.4267515923566873,0.4767970882620555,0.6342129208371238,0.8171064604185619,1
786,-0.0008888888888883,0.1422222222222223,0.258666666666667,0.3911111111111107,0.4399999999999993,0.4888888888888879,0.6426666666666657,0.8213333333333329,1
787,-0.0008857395925608,0.1417183348095664,0.2577502214348989,0.3906111603188661,0.4402125775022151,0.4889282550930032,0.643932683790967,0.8219663418954819,1
788,-0.000882612533099,0.1412180052956754,0.2568402471315097,0.3918799646954981,0.4413062665489853,0.4898499558693734,0.6451897616946148,0.8225948808473075,1
789,-0.0008818342151686,0.1410934744268078,0.2566137566137568,0.3924162257495592,0.4409171075837741,0.489417989417989,0.6455026455026447,0.8227513227513223,1
790,-0.0008818342151654,0.1410934744268078,0.2566137566137568,0.3915343915343937,0.4400352733686086,0.4885361552028235,0.6455026455026478,0.8227513227513223,1
791,-0.0008833922261494,0.1413427561837455,0.2570671378091873,0.3913427561837463,0.4399293286219085,0.4885159010600707,0.6457597173144882,0.8233215547703158,1
792,-0.0008833922261494,0.1413427561837455,0.2570671378091873,0.3913427561837463,0.4399293286219085,0.4885159010600707,0.6457597173144882,0.8233215547703158,1
793,-0.0008833922261494,0.1413427561837459,0.2570671378091881,0.390459363957598,0.4390459363957604,0.4876325088339228,0.6457597173144871,0.8233215547703183,1
794,-0.0008841732979643,0.1414677276746243,0.2572944297082231,0.3899204244031851,0.438549955791337,0.4871794871794888,0.6454465075154733,0.8231653404067204,1
795,-0.0009310986964596,0.103351955307263,0.2253258845437621,0.3649906890130376,0.4162011173184377,0.4674115456238377,0.6331471135940431,0.8202979515828668,1
796,-0.0008944543828275,0.1431127012522364,0.2602862254025051,0.3944543828264754,0.4445438282647589,0.4937388193202149,0.6529516994633286,0.8327370304114478,1
797,-0.0009380863039411,0.1125703564727935,0.2354596622889294,0.3761726078799264,0.4277673545966209,0.4793621013133188,0.6444652908067547,0.8330206378986885,1
798,-0.0009302325581439,0.119069767441861,0.2409302325581408,0.3786046511627889,0.4297674418604633,0.4809302325581376,0.6455813953488356,0.8325581395348833,1
799,-0.000938967136148,0.1201877934272304,0.2431924882629116,0.381220657276995,0.4328638497652577,0.4845070422535205,0.650704225352112,0.8394366197183101,1
800,-0.0009337068160642,0.1204481792717068,0.2427637721755355,0.379084967320261,0.4313725490196051,0.4827264239028916,0.6479925303454686,0.8356676003734806,1
801,-0.0009372071227786,0.1171508903467666,0.2399250234301782,0.3786316776007463,0.4301780693533233,0.4817244611059004,0.6485473289597001,0.8369259606373014,1
802,-0.0009354536950399,0.1150608044901751,0.2376052385406895,0.3769878391019623,0.4284377923292771,0.479887745556592,0.6463985032740887,0.8344246959775499,1
